"hotelgroupcode","hotelgroupname","hotelgroupdescriptions"
"71","Alberta, Canada",
"49","Antigua, Caribbean",
"43","Arches National Park Area",
"48","Aruba, Caribbean",
"50","Bahamas, Caribbean",
"51","Barbados, Caribbean",
"52","Bermuda, Caribbean",
"21","Big Island, Hawaii",
"10","Boston Area",
"72","British Columbia, Canada",
"68","British Virgin Islands, Caribbean",
"29","Bryce Canyon National Park Area",
"30","Canyon de Chelley National Monument area",
"24","Caribbean",
"53","Cayman Islands, Caribbean",
"59","Curacao, Caribbean",
"18","Dallas Area",
"31","Death Valley National Park Area",
"45","Denali National Park Area",
"47","Denver Area","Denver Area Hotels"
"54","Dominica, Caribbean",
"55","Dominican Republic, Caribbean",
"41","Glacier National Park Area",
"32","Grand Canyon National Park Area",
"42","Grand Teton National Park Area",
"57","Grenada, Caribbean",
"61","Haiti, Caribbean",
"58","Jamaica, Caribbean",
"19","Kauai, Hawaii",
"33","Lake Powell area",
"23","Lanai, Hawaii",
"7","Los Angeles Area",
"6","Manhattan, NY",
"20","Maui, Hawaii",
"16","Miami Area",
"12","Monterey Area",
"35","Monument Valley Nationalpark Area",
"13","Napa Area",
"17","New York Area",
"22","Oahu, Hawaii",
"36","Olympic National Park Area",
"73","Ontario, Canada",
"14","Orange County Area",
"8","Orlando Area",
"9","Palm Springs Area",
"62","Puerto Rico, Caribbean",
"74","Quebec, Canada",
"44","Rocky Mountain National Park Area",
"63","Saint Kitts and Nevis, Caribbean",
"64","Saint Lucia, Caribbean",
"56","Saint Martin, Caribbean",
"65","Saint Vincent and the Grenadines, Caribbean",
"11","San Diego Area",
"15","San Francisco Area",
"37","Sequoia National Park Area",
"38","Shenandoah National Park",
"60","St. Maarten, Caribbean",
"66","Trinidad and Tobago, Caribbean",
"67","Turks and Caicos, Caribbean",
"69","US Virgin Islands, Caribbean",
"46","Washington D.C.","Hotels in the Washington D.C. Aria"
"39","Yellowstone National Park Area",
"40","Yosemite National Park Area",
"28","Zion National Park Area",
